epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,24596.4,0.5796,0.78263,0.33815,1.07638,0.9957,0.9948,0.99483,0.92229,0.99559,0.9944,0.99482,0.92204,0.46269,0.5483,0.20466,0.89913,0.006139,0.006139,0.006139
41,25211.3,0.57546,0.77843,0.33495,1.0741,0.99558,0.9948,0.99483,0.92305,0.99539,0.9943,0.99482,0.92209,0.46258,0.54746,0.20309,0.89917,0.00604,0.00604,0.00604
42,25824.9,0.5737,0.77989,0.3327,1.07176,0.99553,0.9948,0.99483,0.92369,0.99565,0.994,0.99482,0.92242,0.46216,0.54661,0.2015,0.89906,0.005941,0.005941,0.005941
43,26438.3,0.57283,0.77639,0.33482,1.07035,0.9957,0.9946,0.99483,0.92404,0.99551,0.9942,0.99483,0.923,0.46165,0.54555,0.20093,0.89833,0.005842,0.005842,0.005842
44,27053.4,0.57288,0.7773,0.3319,1.06932,0.99559,0.9946,0.99483,0.92432,0.99534,0.9942,0.99483,0.92352,0.46113,0.54477,0.20043,0.89787,0.005743,0.005743,0.005743
45,27667.8,0.57085,0.77368,0.33063,1.06706,0.99553,0.9946,0.99484,0.9247,0.99559,0.99333,0.99483,0.92399,0.46058,0.54391,0.19972,0.89748,0.005644,0.005644,0.005644
46,28283.2,0.5675,0.77056,0.32704,1.06655,0.99578,0.9944,0.99485,0.92558,0.99579,0.99338,0.99484,0.92465,0.45962,0.54291,0.19883,0.89635,0.005545,0.005545,0.005545
47,28898.4,0.56579,0.766,0.32838,1.06474,0.99579,0.99422,0.99485,0.92595,0.99539,0.99362,0.99482,0.92479,0.45901,0.54191,0.19749,0.89551,0.005446,0.005446,0.005446
48,29512.8,0.56545,0.76438,0.32692,1.06264,0.99579,0.99417,0.99485,0.92626,0.99519,0.99357,0.99483,0.92531,0.45859,0.54007,0.1965,0.89491,0.005347,0.005347,0.005347
49,30126.9,0.56307,0.76354,0.32553,1.06235,0.99599,0.99413,0.99486,0.92669,0.99539,0.99353,0.99483,0.92562,0.45837,0.53808,0.19537,0.8947,0.005248,0.005248,0.005248
50,30739.1,0.56045,0.7592,0.32517,1.06002,0.99599,0.99403,0.99486,0.92665,0.99539,0.99343,0.99483,0.92564,0.4579,0.53651,0.19448,0.89419,0.005149,0.005149,0.005149
51,31352.4,0.56029,0.75896,0.32525,1.06083,0.99607,0.9942,0.99486,0.92686,0.99547,0.9936,0.99483,0.92582,0.45696,0.53369,0.19383,0.89294,0.00505,0.00505,0.00505
52,31965.7,0.55792,0.75695,0.32265,1.05734,0.99599,0.99417,0.99486,0.92739,0.99539,0.99357,0.99483,0.92598,0.45617,0.5324,0.19308,0.892,0.004951,0.004951,0.004951
53,32581.2,0.55647,0.75449,0.32204,1.05696,0.99599,0.99434,0.99485,0.92759,0.99539,0.99374,0.99482,0.9262,0.45546,0.53196,0.19216,0.89115,0.004852,0.004852,0.004852
54,33194.5,0.55539,0.75257,0.31989,1.0559,0.99599,0.99435,0.99485,0.92786,0.99539,0.99393,0.99482,0.92648,0.45476,0.53076,0.19148,0.89009,0.004753,0.004753,0.004753
55,33810.5,0.55324,0.7496,0.31985,1.05513,0.99593,0.9944,0.99486,0.92795,0.99539,0.99393,0.99483,0.92684,0.45352,0.52966,0.19021,0.88856,0.004654,0.004654,0.004654
56,34425.2,0.55151,0.74776,0.31757,1.0535,0.99598,0.9944,0.99486,0.92859,0.99502,0.9938,0.99482,0.92686,0.45315,0.52848,0.18974,0.88797,0.004555,0.004555,0.004555
57,35040.6,0.55133,0.74738,0.3161,1.05422,0.99619,0.99399,0.99486,0.92892,0.99511,0.994,0.99482,0.9272,0.45256,0.5278,0.18881,0.88733,0.004456,0.004456,0.004456
58,35656.6,0.54994,0.74664,0.31768,1.05261,0.99579,0.99427,0.99485,0.92911,0.99472,0.994,0.99481,0.92749,0.45211,0.52711,0.18818,0.88675,0.004357,0.004357,0.004357
59,36269.8,0.5494,0.74502,0.31716,1.05246,0.99579,0.99442,0.99485,0.9292,0.99519,0.99394,0.99481,0.92788,0.45174,0.52654,0.18714,0.88596,0.004258,0.004258,0.004258
60,36883.7,0.54691,0.7421,0.31314,1.05118,0.99565,0.994,0.99484,0.92915,0.99503,0.9938,0.99481,0.92805,0.45129,0.52565,0.18599,0.88531,0.004159,0.004159,0.004159
61,37498.5,0.54429,0.73776,0.31266,1.05044,0.99564,0.994,0.99484,0.92906,0.9951,0.9936,0.99481,0.9284,0.45089,0.52496,0.18534,0.88464,0.00406,0.00406,0.00406
62,38114.3,0.54277,0.73677,0.31153,1.04759,0.99579,0.99413,0.99485,0.92923,0.99504,0.9938,0.99482,0.92865,0.45034,0.52423,0.18438,0.88394,0.003961,0.003961,0.003961
63,38730,0.54225,0.7383,0.31111,1.04632,0.99579,0.99442,0.99485,0.92991,0.99519,0.99382,0.99482,0.92893,0.44975,0.52346,0.18375,0.88319,0.003862,0.003862,0.003862
64,39346.2,0.54016,0.73361,0.30931,1.04672,0.99579,0.9944,0.99485,0.92991,0.99519,0.9938,0.99482,0.92921,0.44932,0.52288,0.1828,0.88271,0.003763,0.003763,0.003763
65,39960.1,0.53869,0.72965,0.30985,1.04565,0.99557,0.9944,0.99484,0.93015,0.99497,0.9938,0.99481,0.92945,0.44862,0.52227,0.1824,0.88185,0.003664,0.003664,0.003664
66,40573.6,0.53545,0.72518,0.3069,1.04283,0.99551,0.9946,0.99483,0.93029,0.99491,0.994,0.9948,0.92943,0.44782,0.52156,0.18185,0.88058,0.003565,0.003565,0.003565
67,41186.2,0.53506,0.72793,0.30562,1.04307,0.99579,0.99444,0.99485,0.9306,0.99499,0.99364,0.99479,0.9298,0.44732,0.52093,0.18134,0.87955,0.003466,0.003466,0.003466
68,41799.2,0.53323,0.72616,0.30501,1.04213,0.99563,0.9946,0.99485,0.93077,0.99483,0.9938,0.99479,0.93002,0.44665,0.52035,0.18078,0.87856,0.003367,0.003367,0.003367
69,42413,0.53022,0.72021,0.3027,1.04008,0.99559,0.9944,0.99483,0.9309,0.99488,0.9936,0.99479,0.93003,0.44612,0.51961,0.18007,0.87764,0.003268,0.003268,0.003268
70,43025.2,0.52792,0.71833,0.30212,1.04009,0.99533,0.9944,0.99483,0.93148,0.99506,0.9934,0.99479,0.93055,0.4455,0.51904,0.1802,0.87682,0.003169,0.003169,0.003169
71,43638.3,0.526,0.71557,0.30006,1.03702,0.99531,0.9944,0.99483,0.93169,0.99471,0.9938,0.99479,0.93068,0.445,0.51833,0.18007,0.87613,0.00307,0.00307,0.00307
72,44251.5,0.5233,0.71094,0.30029,1.03633,0.9953,0.9942,0.99483,0.93176,0.9945,0.9934,0.99479,0.93096,0.44447,0.51806,0.18034,0.87528,0.002971,0.002971,0.002971
73,44865.2,0.52359,0.71135,0.29736,1.03563,0.99577,0.9946,0.99485,0.93192,0.99457,0.9934,0.99479,0.93107,0.44358,0.51755,0.17979,0.87426,0.002872,0.002872,0.002872
