epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,85456.6,0.3099,0.37628,0.14953,0.95653,0.99704,0.9946,0.99482,0.92818,0.99664,0.9942,0.99484,0.93064,0.44313,0.56674,0.18489,0.90558,0.00109,0.00109,0.00109
92,86386.3,0.29773,0.36351,0.14552,0.94732,0.9954,0.99544,0.99483,0.92775,0.9952,0.99524,0.99486,0.93096,0.44285,0.57254,0.18447,0.90914,0.000991,0.000991,0.000991
93,87313.3,0.28651,0.3519,0.1397,0.93653,0.99587,0.9952,0.99483,0.92737,0.99567,0.995,0.99485,0.93071,0.44309,0.57828,0.18579,0.91349,0.000892,0.000892,0.000892
94,88243.6,0.27706,0.34257,0.13488,0.93054,0.99719,0.99504,0.9949,0.9273,0.99696,0.9942,0.99486,0.93068,0.44439,0.58947,0.18666,0.9205,0.000793,0.000793,0.000793
95,89172,0.26736,0.3312,0.12862,0.9231,0.99679,0.9956,0.99488,0.92817,0.99652,0.995,0.99486,0.93124,0.44687,0.60058,0.18277,0.92732,0.000694,0.000694,0.000694
96,90109.3,0.25871,0.32336,0.12385,0.91673,0.99736,0.9954,0.99488,0.92857,0.99682,0.9948,0.99486,0.93115,0.45075,0.61102,0.18265,0.93645,0.000595,0.000595,0.000595
97,91047.8,0.24983,0.31371,0.11995,0.91052,0.99719,0.99517,0.99484,0.92897,0.99679,0.99477,0.99487,0.93195,0.45159,0.62412,0.18085,0.94252,0.000496,0.000496,0.000496
98,91983.5,0.24078,0.305,0.11608,0.90412,0.99819,0.99512,0.99493,0.92819,0.99739,0.99432,0.99487,0.93167,0.45196,0.63569,0.18026,0.94852,0.000397,0.000397,0.000397
99,92914,0.23416,0.2978,0.11293,0.90054,0.99779,0.995,0.99491,0.9277,0.99728,0.9938,0.99487,0.93129,0.4527,0.65172,0.18004,0.95481,0.000298,0.000298,0.000298
100,93846.1,0.22668,0.29017,0.10843,0.89605,0.99719,0.9952,0.99492,0.92667,0.99595,0.9948,0.99487,0.93048,0.45344,0.66694,0.17945,0.96081,0.000199,0.000199,0.000199
