epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,36264.2,0.55429,0.75251,0.32373,1.06711,0.99622,0.995,0.99491,0.9205,0.99561,0.9944,0.99489,0.92328,0.46873,0.54562,0.19804,0.90455,0.004357,0.004357,0.004357
59,36878.9,0.554,0.75087,0.32382,1.06643,0.9964,0.99524,0.99491,0.92112,0.99559,0.99444,0.99488,0.92367,0.46777,0.5445,0.19704,0.9024,0.004258,0.004258,0.004258
60,37501.8,0.55218,0.74729,0.32144,1.06234,0.99635,0.9952,0.99491,0.92141,0.99555,0.9944,0.99488,0.92404,0.46681,0.54354,0.19643,0.90102,0.004159,0.004159,0.004159
61,38122.6,0.54904,0.74407,0.31969,1.06208,0.99631,0.9952,0.99491,0.92182,0.99551,0.9944,0.99487,0.92402,0.46592,0.54219,0.19659,0.89967,0.00406,0.00406,0.00406
62,38736.2,0.54879,0.744,0.32012,1.06201,0.99639,0.99511,0.99491,0.92193,0.99559,0.99431,0.99488,0.92442,0.46488,0.54038,0.19598,0.89787,0.003961,0.003961,0.003961
63,39359.1,0.54659,0.74495,0.31775,1.05896,0.99639,0.9954,0.9949,0.92228,0.99559,0.9946,0.99487,0.92494,0.4639,0.54083,0.19536,0.89619,0.003862,0.003862,0.003862
64,39981,0.5456,0.74074,0.31559,1.05899,0.9963,0.9954,0.99491,0.92231,0.9955,0.9946,0.99487,0.92472,0.4635,0.53967,0.19532,0.89519,0.003763,0.003763,0.003763
65,40598.1,0.54291,0.73599,0.31452,1.05225,0.99627,0.9954,0.99491,0.92302,0.99547,0.9946,0.99488,0.92527,0.4627,0.53962,0.19508,0.89376,0.003664,0.003664,0.003664
66,41213.2,0.54199,0.73339,0.31288,1.05181,0.99634,0.9954,0.9949,0.92351,0.99554,0.9946,0.99487,0.9254,0.46185,0.53865,0.19462,0.89248,0.003565,0.003565,0.003565
67,41831.8,0.53979,0.73439,0.31263,1.04898,0.99616,0.9956,0.9949,0.92367,0.9954,0.99468,0.99487,0.92549,0.4609,0.53757,0.19423,0.89103,0.003466,0.003466,0.003466
68,42449.1,0.53754,0.73096,0.31114,1.04713,0.99624,0.9956,0.99491,0.92416,0.99544,0.9948,0.99488,0.92586,0.45986,0.53703,0.1934,0.88956,0.003367,0.003367,0.003367
